BuildingType,Latitude,NumberofBuildings,GHGEmissionsIntensity,TotalGHGEmissions,PropertyGFATotal,PrimaryPropertyType,YearBuilt,Neighborhood,Longitude,NumberofFloors,LargestPropertyUseType,ENERGYSTARScore
Multifamily HR (10+),47.60976,1,2.03,671.55,330693,High-Rise Multifamily,2008,DOWNTOWN,-122.33962,38,Multifamily Housing,47
Multifamily HR (10+),47.61022,1,1,236.05,236148,High-Rise Multifamily,2012,EAST,-122.324,17,Multifamily Housing,69
Multifamily HR (10+),47.61023,1,2.07,186.65,90000,High-Rise Multifamily,1930,EAST,-122.32484,14,Multifamily Housing,87
Multifamily HR (10+),47.61028,1,1.07,115.56,108228,High-Rise Multifamily,1950,EAST,-122.32524,13,Multifamily Housing,80
Multifamily HR (10+),47.6103,1,1.39,138.39,99470,High-Rise Multifamily,1929,DOWNTOWN,-122.33879,13,Multifamily Housing,75
Multifamily HR (10+),47.61056,1,0.25,18.95,76855,High-Rise Multifamily,1982,EAST,-122.32525,17,NULL,10
Multifamily HR (10+),47.61061,1,3.3,220.86,66924,High-Rise Multifamily,1929,EAST,-122.32367,12,Multifamily Housing,85
Multifamily HR (10+),47.61063,1,1.38,108.31,78538,High-Rise Multifamily,1981,EAST,-122.32601,18,Multifamily Housing,6
Multifamily HR (10+),47.61088,1,1.61,1216.05,756740,Senior Care Community,1954,EAST,-122.32932,19,Senior Care Community,71
Multifamily HR (10+),47.61105,1,1.18,280.35,237186,High-Rise Multifamily,2014,DOWNTOWN,-122.34091,25,Multifamily Housing,34
Multifamily HR (10+),47.61105,1,1.61,372.55,231352,High-Rise Multifamily,1982,EAST,-122.32263,33,Multifamily Housing,11
Multifamily HR (10+),47.61117,1,2.11,312.13,148219,High-Rise Multifamily,1907,DOWNTOWN,-122.34044,14,Multifamily Housing,67
Multifamily HR (10+),47.61124,1,0.57,106.37,185506,High-Rise Multifamily,1982,DOWNTOWN,-122.34339,21,Multifamily Housing,1
Multifamily HR (10+),47.61137,1,2.95,281.25,95280,High-Rise Multifamily,1927,EAST,-122.32669,12,Multifamily Housing,75
Multifamily HR (10+),47.61146,1,1.41,269.03,191427,High-Rise Multifamily,1994,DOWNTOWN,-122.34264,27,Multifamily Housing,7
Multifamily HR (10+),47.6115,1,2.15,195.71,90920,High-Rise Multifamily,1922,EAST,-122.32984,10,Multifamily Housing,95
Multifamily HR (10+),47.61159,1,0.82,55.71,67560,High-Rise Multifamily,1923,DOWNTOWN,-122.33601,10,Multifamily Housing,85
Multifamily HR (10+),47.61174,1,2.59,263.37,101706,High-Rise Multifamily,1960,EAST,-122.32611,10,Multifamily Housing,42
Multifamily HR (10+),47.61191,1,1.91,479.7,250883,High-Rise Multifamily,1962,EAST,-122.32666,18,Multifamily Housing,93
Multifamily HR (10+),47.61208,1,2.15,534.88,248225,High-Rise Multifamily,2004,DOWNTOWN,-122.34287,23,Multifamily Housing,1
Multifamily HR (10+),47.6122,1,2.79,423.51,151680,High-Rise Multifamily,1957,EAST,-122.32976,16,Multifamily Housing,40
Multifamily HR (10+),47.61222,1,2.89,551.53,190610,High-Rise Multifamily,1981,DOWNTOWN,-122.34456,33,Multifamily Housing,7
Multifamily HR (10+),47.61248,1,3.43,709.11,207022,High-Rise Multifamily,2000,EAST,-122.32556,13,Multifamily Housing,1
Multifamily HR (10+),47.61249,1,3.91,149.53,38220,High-Rise Multifamily,1960,EAST,-122.32303,10,Multifamily Housing,40
Multifamily HR (10+),47.61263,1,1.75,314.92,179678,High-Rise Multifamily,2002,EAST,-122.32924,27,Multifamily Housing,24
