BuildingType,Latitude,NumberofBuildings,GHGEmissionsIntensity,TotalGHGEmissions,PropertyGFATotal,PrimaryPropertyType,YearBuilt,Neighborhood,Longitude,NumberofFloors,LargestPropertyUseType,ENERGYSTARScore
Multifamily LR (1-4),47.62746,1,0.21,8.64,42093,Low-Rise Multifamily,1992,MAGNOLIA / QUEEN ANNE,-122.34729,4,Multifamily Housing,16
Multifamily LR (1-4),47.62747,1,0.62,17.89,28766,Low-Rise Multifamily,1999,MAGNOLIA / QUEEN ANNE,-122.35447,4,Multifamily Housing,75
Multifamily LR (1-4),47.62749,1,0.13,3.31,25082,Low-Rise Multifamily,1963,MAGNOLIA / QUEEN ANNE,-122.34992,4,Multifamily Housing,75
Multifamily LR (1-4),47.62749,1,1.95,80.15,41137,Low-Rise Multifamily,1929,MAGNOLIA / QUEEN ANNE,-122.35648,4,Multifamily Housing,79
Multifamily LR (1-4),47.62752,1,0.7,25.47,36282,Low-Rise Multifamily,1929,MAGNOLIA / QUEEN ANNE,-122.35831,3,Multifamily Housing,90
Multifamily LR (1-4),47.62753,1,0.18,3.98,22208,Low-Rise Multifamily,1965,MAGNOLIA / QUEEN ANNE,-122.348,3,Multifamily Housing,46
Multifamily LR (1-4),47.62762,1,0.14,6.85,48423,Low-Rise Multifamily,1963,MAGNOLIA / QUEEN ANNE,-122.35515,4,Multifamily Housing,90
Multifamily LR (1-4),47.62782,1,0.22,8.42,38407,Low-Rise Multifamily,1907,MAGNOLIA / QUEEN ANNE,-122.36583,4,Multifamily Housing,57
Multifamily LR (1-4),47.62796,1,1.44,34.62,24084,Low-Rise Multifamily,1975,MAGNOLIA / QUEEN ANNE,-122.3597,4,Multifamily Housing,75
Multifamily LR (1-4),47.628,1,0.17,3.74,22093,Low-Rise Multifamily,1960,MAGNOLIA / QUEEN ANNE,-122.35769,4,Multifamily Housing,76
Multifamily LR (1-4),47.62801,1,1.82,42.1,23120,Low-Rise Multifamily,1948,MAGNOLIA / QUEEN ANNE,-122.35701,3,Multifamily Housing,83
Multifamily LR (1-4),47.62812,1,1.82,39.57,21754,Low-Rise Multifamily,2000,MAGNOLIA / QUEEN ANNE,-122.3665,4,Multifamily Housing,75
Multifamily LR (1-4),47.62835,1,3.11,75.58,24325,Low-Rise Multifamily,1925,EAST,-122.32653,2,Multifamily Housing,27
Multifamily LR (1-4),47.6284,1,2.95,64.04,21672,Low-Rise Multifamily,1920,EAST,-122.31843,3,Multifamily Housing,75
Multifamily LR (1-4),47.62847,1,1.17,24.93,21234,Low-Rise Multifamily,1913,MAGNOLIA / QUEEN ANNE,-122.35645,3,Multifamily Housing,91
Multifamily LR (1-4),47.62848,1,0.16,3.95,24581,Low-Rise Multifamily,1985,MAGNOLIA / QUEEN ANNE,-122.34788,4,Multifamily Housing,75
Multifamily LR (1-4),47.62855,1,0.16,4.2,25596,Low-Rise Multifamily,1962,MAGNOLIA / QUEEN ANNE,-122.35713,4,Multifamily Housing,87
Multifamily LR (1-4),47.62862,1,1.19,41.13,34498,Low-Rise Multifamily,1907,MAGNOLIA / QUEEN ANNE,-122.36827,4,Multifamily Housing,100
Multifamily LR (1-4),47.62868,1,0.15,3.54,22937,Low-Rise Multifamily,1959,MAGNOLIA / QUEEN ANNE,-122.34718,3,Multifamily Housing,89
Multifamily LR (1-4),47.62915,1,0.14,2.94,21312,Low-Rise Multifamily,1986,EAST,-122.32058,4,Multifamily Housing,75
Multifamily LR (1-4),47.62922,1,0.21,6.38,30720,Low-Rise Multifamily,1989,MAGNOLIA / QUEEN ANNE,-122.34529,4,Multifamily Housing,87
Multifamily LR (1-4),47.62948,1,2.29,58.24,25380,Low-Rise Multifamily,1930,MAGNOLIA / QUEEN ANNE,-122.36881,3,Multifamily Housing,66
Multifamily LR (1-4),47.62982,1,1.3,33.92,26044,Low-Rise Multifamily,1948,MAGNOLIA / QUEEN ANNE,-122.35706,3,Multifamily Housing,86
Multifamily LR (1-4),47.62993,1,0.56,52.55,93179,Low-Rise Multifamily,2014,EAST,-122.32054,3,Multifamily Housing,93
Multifamily LR (1-4),47.63007,1,2.23,232.1,104064,Low-Rise Multifamily,1921,MAGNOLIA / QUEEN ANNE,-122.35854,4,Multifamily Housing,50
Multifamily LR (1-4),47.63066,1,2.23,47.7,21376,Low-Rise Multifamily,1928,MAGNOLIA / QUEEN ANNE,-122.35764,3,Multifamily Housing,79
Multifamily LR (1-4),47.63074,1,1.02,20.88,20448,Low-Rise Multifamily,1998,MAGNOLIA / QUEEN ANNE,-122.3473,3,Multifamily Housing,75
Multifamily LR (1-4),47.63084,1,0.38,7.97,21232,Low-Rise Multifamily,1992,MAGNOLIA / QUEEN ANNE,-122.34789,4,Multifamily Housing,75
Multifamily LR (1-4),47.63087,1,2.64,92.58,35070,Low-Rise Multifamily,1928,MAGNOLIA / QUEEN ANNE,-122.3566,3,Multifamily Housing,79
Multifamily LR (1-4),47.63089,1,0.15,9.65,65689,Low-Rise Multifamily,1988,MAGNOLIA / QUEEN ANNE,-122.3439,3,Multifamily Housing,73
Multifamily LR (1-4),47.63099,1,0.12,4.8,40948,Low-Rise Multifamily,1978,MAGNOLIA / QUEEN ANNE,-122.34658,4,Multifamily Housing,85
Multifamily LR (1-4),47.63106,1,3.12,90.31,28940,Low-Rise Multifamily,1928,MAGNOLIA / QUEEN ANNE,-122.35764,3,Multifamily Housing,19
Multifamily LR (1-4),47.63107,1,0.74,21.57,29280,Low-Rise Multifamily,1989,MAGNOLIA / QUEEN ANNE,-122.3454,4,Multifamily Housing,94
Multifamily LR (1-4),47.63115,1,0.13,4.6,34590,Low-Rise Multifamily,1978,MAGNOLIA / QUEEN ANNE,-122.34591,4,Multifamily Housing,67
Multifamily LR (1-4),47.63132,1,0.15,3.27,22392,Low-Rise Multifamily,1988,MAGNOLIA / QUEEN ANNE,-122.35421,3,Multifamily Housing,97
Multifamily LR (1-4),47.63148,1,0.42,15.34,36192,Low-Rise Multifamily,2005,MAGNOLIA / QUEEN ANNE,-122.35766,4,Multifamily Housing,81
Multifamily LR (1-4),47.6315,1,0.15,9.93,66885,Low-Rise Multifamily,1984,EAST,-122.31221,3,Multifamily Housing,70
Multifamily LR (1-4),47.63162,1,0.18,4.2,23210,Low-Rise Multifamily,1984,MAGNOLIA / QUEEN ANNE,-122.34582,3,Multifamily Housing,69
Multifamily LR (1-4),47.63182,1,0.2,11.26,57212,Low-Rise Multifamily,1920,MAGNOLIA / QUEEN ANNE,-122.36384,4,Multifamily Housing,23
Multifamily LR (1-4),47.63198,1,0.71,95.77,135608,Low-Rise Multifamily,1908,MAGNOLIA / QUEEN ANNE,-122.35193,3,Multifamily Housing,83
Multifamily LR (1-4),47.63201,1,0.66,14.26,21602,Low-Rise Multifamily,1958,MAGNOLIA / QUEEN ANNE,-122.34784,4,Multifamily Housing,95
Multifamily LR (1-4),47.63203,1,0.27,12.37,46184,Low-Rise Multifamily,1996,MAGNOLIA / QUEEN ANNE,-122.35702,4,Multifamily Housing,39
Multifamily LR (1-4),47.63205,1,2.69,101.96,37944,Low-Rise Multifamily,1930,MAGNOLIA / QUEEN ANNE,-122.35633,3,Multifamily Housing,18
Multifamily LR (1-4),47.63208,1,0.81,19.76,24540,Low-Rise Multifamily,1910,MAGNOLIA / QUEEN ANNE,-122.35751,4,Multifamily Housing,92
Multifamily LR (1-4),47.63217,1,1,28.44,28546,Small- and Mid-Sized Office,1917,MAGNOLIA / QUEEN ANNE,-122.36532,4,Office,99
Multifamily LR (1-4),47.63289,1,0.25,6.74,26808,Low-Rise Multifamily,1980,EAST,-122.31224,4,Multifamily Housing,17
Multifamily LR (1-4),47.63291,8,0.15,28.6,185403,Low-Rise Multifamily,1988,MAGNOLIA / QUEEN ANNE,-122.34513,4,Multifamily Housing,76
Multifamily LR (1-4),47.63338,1,0.52,45.44,87261,Low-Rise Multifamily,2005,MAGNOLIA / QUEEN ANNE,-122.35738,4,Multifamily Housing,76
Multifamily LR (1-4),47.63348,1,1.89,85.22,45067,Low-Rise Multifamily,1959,EAST,-122.27626,3,Multifamily Housing,84
Multifamily LR (1-4),47.63364,1,1.61,34.02,21112,Low-Rise Multifamily,1949,EAST,-122.32271,3,Multifamily Housing,96
Multifamily LR (1-4),47.63434,1,1.03,32.02,31008,Low-Rise Multifamily,1977,MAGNOLIA / QUEEN ANNE,-122.3414,4,Multifamily Housing,24
Multifamily LR (1-4),47.63447,1,0.5,10.29,20378,Low-Rise Multifamily,1990,MAGNOLIA / QUEEN ANNE,-122.35724,4,Multifamily Housing,75
Multifamily LR (1-4),47.63474,1,0.17,5.61,32366,Low-Rise Multifamily,1964,EAST,-122.27642,4,Multifamily Housing,89
Multifamily LR (1-4),47.63516,1,0.12,5.26,43969,Low-Rise Multifamily,1999,LAKE UNION,-122.32502,3,Multifamily Housing,89
Multifamily LR (1-4),47.6352,1,0.14,6.08,42712,Low-Rise Multifamily,1994,LAKE UNION,-122.32454,4,Multifamily Housing,99
Multifamily LR (1-4),47.63547,1,2.94,118.41,40326,Low-Rise Multifamily,1948,MAGNOLIA / QUEEN ANNE,-122.3456,4,Multifamily Housing,42
Multifamily LR (1-4),47.63586,1,0.15,5.36,36115,Low-Rise Multifamily,1999,MAGNOLIA / QUEEN ANNE,-122.34622,3,Multifamily Housing,75
Multifamily LR (1-4),47.63662,1,1.07,80.27,74964,Low-Rise Multifamily,2012,MAGNOLIA / QUEEN ANNE,-122.35738,4,Multifamily Housing,83
Multifamily LR (1-4),47.63663,1,0.81,29.93,36792,Low-Rise Multifamily,1990,LAKE UNION,-122.32788,4,Multifamily Housing,65
Multifamily LR (1-4),47.63673,1,0.13,4.74,36702,Low-Rise Multifamily,1988,EAST,-122.27813,3,Multifamily Housing,90
Multifamily LR (1-4),47.63678,1,0.45,37.2,83175,Mixed Use Property,2007,MAGNOLIA / QUEEN ANNE,-122.35734,4,Multifamily Housing,89
Multifamily LR (1-4),47.63683,1,0.58,12.56,21753,Low-Rise Multifamily,2012,MAGNOLIA / QUEEN ANNE,-122.38658,3,Multifamily Housing,33
Multifamily LR (1-4),47.63701,1,0.12,3.82,32615,Low-Rise Multifamily,1961,MAGNOLIA / QUEEN ANNE,-122.34218,4,Multifamily Housing,92
Multifamily LR (1-4),47.63703,1,0.15,4.02,26294,Low-Rise Multifamily,1967,MAGNOLIA / QUEEN ANNE,-122.34072,4,Multifamily Housing,89
Multifamily LR (1-4),47.63734,1,0.13,11.28,84147,Mixed Use Property,2008,MAGNOLIA / QUEEN ANNE,-122.35724,4,Multifamily Housing,85
Multifamily LR (1-4),47.63755,5,1.28,59.86,46613,Low-Rise Multifamily,1922,EAST,-122.27654,2,Multifamily Housing,34
Multifamily LR (1-4),47.63766,1,0.14,3.41,24538,Low-Rise Multifamily,1990,MAGNOLIA / QUEEN ANNE,-122.34213,4,Multifamily Housing,75
Multifamily LR (1-4),47.63785,1,0.15,3.41,23177,Low-Rise Multifamily,1989,MAGNOLIA / QUEEN ANNE,-122.37352,4,Multifamily Housing,75
Multifamily LR (1-4),47.63794,1,1.73,37.54,21643,Low-Rise Multifamily,1989,LAKE UNION,-122.32867,2,Multifamily Housing,75
Multifamily LR (1-4),47.63805,1,1.18,73.2,61802,Low-Rise Multifamily,1910,MAGNOLIA / QUEEN ANNE,-122.35534,4,Multifamily Housing,60
Multifamily LR (1-4),47.63854,1,0.13,4.43,34270,Low-Rise Multifamily,1988,MAGNOLIA / QUEEN ANNE,-122.38733,4,Multifamily Housing,52
Multifamily LR (1-4),47.63861,4,0.13,12.06,90372,Low-Rise Multifamily,1984,MAGNOLIA / QUEEN ANNE,-122.34148,4,Multifamily Housing,83
Multifamily LR (1-4),47.63876,1,0.14,3.98,29088,Low-Rise Multifamily,1977,MAGNOLIA / QUEEN ANNE,-122.37342,4,Multifamily Housing,92
Multifamily LR (1-4),47.63892,1,0.62,31.55,51095,Low-Rise Multifamily,2015,MAGNOLIA / QUEEN ANNE,-122.37582,4,Multifamily Housing,1
Multifamily LR (1-4),47.63935,1,0.15,3.01,20383,Low-Rise Multifamily,1977,LAKE UNION,-122.32497,3,Multifamily Housing,75
Multifamily LR (1-4),47.63958,1,1.29,26.31,20384,Low-Rise Multifamily,1928,LAKE UNION,-122.3275,3,Multifamily Housing,100
Multifamily LR (1-4),47.63959,1,1.43,37.72,26375,Low-Rise Multifamily,2007,LAKE UNION,-122.32617,4,Multifamily Housing,75
Multifamily LR (1-4),47.63982,1,3.18,64.86,20366,Low-Rise Multifamily,1926,EAST,-122.30181,2,Multifamily Housing,75
Multifamily LR (1-4),47.63991,1,0.23,13.95,59502,Low-Rise Multifamily,1968,EAST,-122.27578,3,Multifamily Housing,27
Multifamily LR (1-4),47.64005,1,1.43,58.79,41126,Low-Rise Multifamily,1990,MAGNOLIA / QUEEN ANNE,-122.37331,4,Multifamily Housing,26
Multifamily LR (1-4),47.64038,1,0.13,5.68,44832,Low-Rise Multifamily,1987,MAGNOLIA / QUEEN ANNE,-122.34581,4,Multifamily Housing,90
Multifamily LR (1-4),47.64069,1,0.16,3.53,21608,Low-Rise Multifamily,1964,MAGNOLIA / QUEEN ANNE,-122.3429,4,Multifamily Housing,79
Multifamily LR (1-4),47.64071,1,0.2,12.85,63336,Low-Rise Multifamily,1966,EAST,-122.27612,4,Multifamily Housing,53
Multifamily LR (1-4),47.64079,1,0.15,6.84,45235,Low-Rise Multifamily,1985,EAST,-122.31972,3,Multifamily Housing,61
Multifamily LR (1-4),47.64104,1,0.19,4.08,21094,Low-Rise Multifamily,1963,MAGNOLIA / QUEEN ANNE,-122.37539,3,Multifamily Housing,78
Multifamily LR (1-4),47.64115,1,0.73,88.1,120693,Low-Rise Multifamily,1987,MAGNOLIA / QUEEN ANNE,-122.34575,4,Multifamily Housing,84
Multifamily LR (1-4),47.64127,1,0.21,6.52,31682,Low-Rise Multifamily,1966,NORTHEAST,-122.31338,4,Multifamily Housing,55
Multifamily LR (1-4),47.64137,1,0.18,3.72,21240,Low-Rise Multifamily,1962,MAGNOLIA / QUEEN ANNE,-122.37449,3,Multifamily Housing,71
Multifamily LR (1-4),47.6418,1,0.13,2.86,22252,Low-Rise Multifamily,1948,MAGNOLIA / QUEEN ANNE,-122.39786,2,Multifamily Housing,96
Multifamily LR (1-4),47.64202,1,0.43,50.31,118154,Low-Rise Multifamily,1967,EAST,-122.28039,4,Multifamily Housing,33
Multifamily LR (1-4),47.6424,1,0.71,15.87,22207,Low-Rise Multifamily,1969,MAGNOLIA / QUEEN ANNE,-122.38439,4,Multifamily Housing,75
Multifamily LR (1-4),47.64251,1,0.28,6.02,21312,Low-Rise Multifamily,1958,NORTHEAST,-122.3149,4,Multifamily Housing,39
Multifamily LR (1-4),47.64272,1,0,0,37361,Low-Rise Multifamily,1974,LAKE UNION,-122.32866,4,Multifamily Housing,61
Multifamily LR (1-4),47.64273,1,0.15,3.55,24444,Low-Rise Multifamily,1969,MAGNOLIA / QUEEN ANNE,-122.38414,4,Multifamily Housing,93
Multifamily LR (1-4),47.64353,1,0.16,3.63,22202,Low-Rise Multifamily,1977,MAGNOLIA / QUEEN ANNE,-122.37438,3,Multifamily Housing,80
Multifamily LR (1-4),47.64384,1,0.17,4.35,25440,Low-Rise Multifamily,1986,LAKE UNION,-122.32588,4,Multifamily Housing,83
Multifamily LR (1-4),47.64385,1,0.13,7.1,53698,Low-Rise Multifamily,1981,MAGNOLIA / QUEEN ANNE,-122.34899,3,Multifamily Housing,97
Multifamily LR (1-4),47.64393,1,0.36,25.12,69881,Low-Rise Multifamily,2001,MAGNOLIA / QUEEN ANNE,-122.38313,3,Multifamily Housing,88
Multifamily LR (1-4),47.64408,1,0.33,9.36,28674,Low-Rise Multifamily,1963,MAGNOLIA / QUEEN ANNE,-122.37511,4,Multifamily Housing,84
Multifamily LR (1-4),47.64425,1,0.2,7.62,38328,Low-Rise Multifamily,1965,MAGNOLIA / QUEEN ANNE,-122.36125,3,Multifamily Housing,69
Multifamily LR (1-4),47.64533,1,0.32,17.26,54721,Low-Rise Multifamily,1996,LAKE UNION,-122.32637,4,Multifamily Housing,67
Multifamily LR (1-4),47.64611,1,0.19,5.21,27997,Low-Rise Multifamily,1978,MAGNOLIA / QUEEN ANNE,-122.39791,4,Multifamily Housing,21
Multifamily LR (1-4),47.64626,1,1.37,51.91,37885,Low-Rise Multifamily,1928,LAKE UNION,-122.32367,4,Multifamily Housing,77
Multifamily LR (1-4),47.64675,1,0.69,16.58,24178,Low-Rise Multifamily,1993,MAGNOLIA / QUEEN ANNE,-122.38242,3,Multifamily Housing,81
Multifamily LR (1-4),47.64735,2,0.97,23.59,24330,Low-Rise Multifamily,1914,LAKE UNION,-122.32343,3,Multifamily Housing,76
Multifamily LR (1-4),47.64771,1,0.16,17.77,112264,Low-Rise Multifamily,2014,MAGNOLIA / QUEEN ANNE,-122.37697,4,Multifamily Housing,62
Multifamily LR (1-4),47.64778,1,0.18,12.2,66013,Low-Rise Multifamily,2005,LAKE UNION,-122.33668,4,Multifamily Housing,36
Multifamily LR (1-4),47.64779,1,1.63,90.53,55372,Low-Rise Multifamily,1993,LAKE UNION,-122.33352,4,Multifamily Housing,79
Multifamily LR (1-4),47.64786,1,0.11,7.07,62504,Low-Rise Multifamily,2004,LAKE UNION,-122.32378,4,Multifamily Housing,50
Multifamily LR (1-4),47.64791,1,0.18,5.81,31537,Low-Rise Multifamily,1988,MAGNOLIA / QUEEN ANNE,-122.38246,4,Multifamily Housing,63
Multifamily LR (1-4),47.64816,1,0.18,4.27,24367,Low-Rise Multifamily,1926,NORTHEAST,-122.32169,3,Multifamily Housing,52
Multifamily LR (1-4),47.64823,1,0.28,11.79,42763,Low-Rise Multifamily,2007,MAGNOLIA / QUEEN ANNE,-122.38276,4,Multifamily Housing,58
Multifamily LR (1-4),47.6483,1,0.21,9.65,45348,Low-Rise Multifamily,1987,LAKE UNION,-122.33681,4,Multifamily Housing,77
Multifamily LR (1-4),47.64839,1,0.16,9.05,57486,Low-Rise Multifamily,2008,LAKE UNION,-122.32314,4,Multifamily Housing,93
Multifamily LR (1-4),47.64848,1,1.05,44.71,42705,Mixed Use Property,1991,MAGNOLIA / QUEEN ANNE,-122.35589,4,Multifamily Housing,75
Multifamily LR (1-4),47.64869,1,0.2,4.43,21990,Low-Rise Multifamily,1989,LAKE UNION,-122.33466,3,Multifamily Housing,79
Multifamily LR (1-4),47.64886,1,1.22,27.56,22625,Low-Rise Multifamily,2004,MAGNOLIA / QUEEN ANNE,-122.35862,4,Multifamily Housing,93
Multifamily LR (1-4),47.64898,1,0.16,6.22,39966,Low-Rise Multifamily,1999,MAGNOLIA / QUEEN ANNE,-122.35675,4,Multifamily Housing,75
Multifamily LR (1-4),47.64934,1,0.16,5.07,32040,Low-Rise Multifamily,1991,LAKE UNION,-122.32396,4,Multifamily Housing,81
Multifamily LR (1-4),47.64936,1,1.21,27.47,22625,Low-Rise Multifamily,2004,MAGNOLIA / QUEEN ANNE,-122.35836,4,Multifamily Housing,91
Multifamily LR (1-4),47.64955,1,0.2,4.52,23101,Low-Rise Multifamily,1978,LAKE UNION,-122.34545,4,Multifamily Housing,65
Multifamily LR (1-4),47.65052,1,0.16,3.63,22374,Low-Rise Multifamily,1969,MAGNOLIA / QUEEN ANNE,-122.38821,4,Multifamily Housing,85
Multifamily LR (1-4),47.65061,1,0.7,25.53,36660,Low-Rise Multifamily,1907,LAKE UNION,-122.34946,4,Multifamily Housing,98
Multifamily LR (1-4),47.65082,1,0.22,6.93,31962,Low-Rise Multifamily,2012,LAKE UNION,-122.34348,4,Multifamily Housing,92
Multifamily LR (1-4),47.65083,1,0.08,2.45,32452,Low-Rise Multifamily,1968,MAGNOLIA / QUEEN ANNE,-122.38937,4,Multifamily Housing,100
Multifamily LR (1-4),47.65084,1,0.2,8.97,45580,Low-Rise Multifamily,1997,NORTHEAST,-122.32147,3,Multifamily Housing,75
Multifamily LR (1-4),47.65093,1,0.15,4.15,27480,Low-Rise Multifamily,1980,LAKE UNION,-122.34555,4,Multifamily Housing,87
Multifamily LR (1-4),47.65094,1,0.88,57.69,65471,Low-Rise Multifamily,2002,NORTHEAST,-122.32205,4,Multifamily Housing,74
Multifamily LR (1-4),47.65155,1,0.63,115.73,182378,Low-Rise Multifamily,2014,LAKE UNION,-122.34434,4,Multifamily Housing,100
Multifamily LR (1-4),47.65157,2,0.84,110.42,131034,Low-Rise Multifamily,2015,LAKE UNION,-122.34231,4,Multifamily Housing,99
Multifamily LR (1-4),47.65185,1,0.15,5.28,34602,Low-Rise Multifamily,1974,MAGNOLIA / QUEEN ANNE,-122.38782,4,Multifamily Housing,85
Multifamily LR (1-4),47.65186,1,0.16,4.72,29588,Low-Rise Multifamily,1974,MAGNOLIA / QUEEN ANNE,-122.38842,4,Multifamily Housing,84
Multifamily LR (1-4),47.65203,1,0.34,8.1,23705,Low-Rise Multifamily,1968,MAGNOLIA / QUEEN ANNE,-122.39014,4,Multifamily Housing,53
Multifamily LR (1-4),47.65211,1,0.14,5.37,37086,Low-Rise Multifamily,1967,MAGNOLIA / QUEEN ANNE,-122.39234,4,Multifamily Housing,86
Multifamily LR (1-4),47.65245,1,0.15,3.85,25326,Low-Rise Multifamily,1968,MAGNOLIA / QUEEN ANNE,-122.39186,4,Multifamily Housing,85
Multifamily LR (1-4),47.65246,1,0.55,15.22,27533,Low-Rise Multifamily,1979,LAKE UNION,-122.35029,4,Multifamily Housing,61
Multifamily LR (1-4),47.65249,1,0.2,11.29,56104,Low-Rise Multifamily,1969,MAGNOLIA / QUEEN ANNE,-122.39099,4,Multifamily Housing,45
Multifamily LR (1-4),47.65257,1,0.18,5.63,32054,Other,1969,MAGNOLIA / QUEEN ANNE,-122.38779,4,Other,75
Multifamily LR (1-4),47.65273,1,0.18,4.71,25959,Low-Rise Multifamily,1968,MAGNOLIA / QUEEN ANNE,-122.39162,4,Multifamily Housing,61
Multifamily LR (1-4),47.65295,1,0.68,28.08,41403,Low-Rise Multifamily,2015,LAKE UNION,-122.35593,4,Multifamily Housing,88
Multifamily LR (1-4),47.65299,1,0.16,3.54,22448,Low-Rise Multifamily,1988,LAKE UNION,-122.35299,4,Multifamily Housing,86
Multifamily LR (1-4),47.65303,1,0.17,10.74,62681,Low-Rise Multifamily,1994,LAKE UNION,-122.3469,4,Multifamily Housing,72
Multifamily LR (1-4),47.65314,1,0.11,6.44,60601,Low-Rise Multifamily,1973,MAGNOLIA / QUEEN ANNE,-122.38918,4,Multifamily Housing,95
Multifamily LR (1-4),47.65322,1,0.16,4.01,24386,Low-Rise Multifamily,1968,MAGNOLIA / QUEEN ANNE,-122.39202,4,Multifamily Housing,76
Multifamily LR (1-4),47.65324,1,0.19,5.55,29222,Low-Rise Multifamily,1970,MAGNOLIA / QUEEN ANNE,-122.38855,4,Multifamily Housing,54
Multifamily LR (1-4),47.65332,1,0.14,4.15,30000,Low-Rise Multifamily,1968,MAGNOLIA / QUEEN ANNE,-122.39163,4,Multifamily Housing,89
Multifamily LR (1-4),47.65339,1,0.12,9.65,78120,Low-Rise Multifamily,1968,MAGNOLIA / QUEEN ANNE,-122.39102,4,Multifamily Housing,99
Multifamily LR (1-4),47.65346,1,0.15,4.04,26568,Low-Rise Multifamily,1984,MAGNOLIA / QUEEN ANNE,-122.36987,4,Multifamily Housing,98
Multifamily LR (1-4),47.6536,1,0.2,16.76,81821,Low-Rise Multifamily,1974,MAGNOLIA / QUEEN ANNE,-122.39002,4,Multifamily Housing,30
Multifamily LR (1-4),47.65383,1,0.18,7.23,39967,Low-Rise Multifamily,1965,MAGNOLIA / QUEEN ANNE,-122.3706,3,Multifamily Housing,52
Multifamily LR (1-4),47.65388,1,0.23,5.19,22394,Low-Rise Multifamily,1977,MAGNOLIA / QUEEN ANNE,-122.39196,4,Multifamily Housing,74
Multifamily LR (1-4),47.65397,1,0.14,5.19,35835,Low-Rise Multifamily,1977,MAGNOLIA / QUEEN ANNE,-122.38806,4,Multifamily Housing,95
Multifamily LR (1-4),47.65426,1,0.18,6.54,35787,Low-Rise Multifamily,1984,MAGNOLIA / QUEEN ANNE,-122.40138,3,Multifamily Housing,66
Multifamily LR (1-4),47.65434,1,0.19,4.86,25490,Low-Rise Multifamily,1990,LAKE UNION,-122.35044,4,Multifamily Housing,80
Multifamily LR (1-4),47.65439,1,0.18,4.43,23976,Low-Rise Multifamily,1988,LAKE UNION,-122.35832,4,Multifamily Housing,80
Multifamily LR (1-4),47.65455,2,0.49,11.42,23341,Low-Rise Multifamily,1989,LAKE UNION,-122.32727,4,Multifamily Housing,90
Multifamily LR (1-4),47.65487,1,0.89,102.3,115575,Low-Rise Multifamily,1990,MAGNOLIA / QUEEN ANNE,-122.37462,4,Multifamily Housing,68
Multifamily LR (1-4),47.65488,1,1.18,51.2,43422,Low-Rise Multifamily,1997,LAKE UNION,-122.32641,4,Multifamily Housing,38
Multifamily LR (1-4),47.65537,1,0.6,22.89,38270,Low-Rise Multifamily,1999,LAKE UNION,-122.32603,4,Multifamily Housing,53
Multifamily LR (1-4),47.65598,1,1.24,51.13,41316,Low-Rise Multifamily,2002,LAKE UNION,-122.34694,4,Multifamily Housing,78
Multifamily LR (1-4),47.65661,1,0.19,4.46,23728,Low-Rise Multifamily,1968,MAGNOLIA / QUEEN ANNE,-122.38781,4,Multifamily Housing,73
Multifamily LR (1-4),47.65671,1,0.41,23.14,56184,Low-Rise Multifamily,2013,BALLARD,-122.36174,4,Multifamily Housing,90
Multifamily LR (1-4),47.65675,1,0.2,4.85,24059,Low-Rise Multifamily,1962,MAGNOLIA / QUEEN ANNE,-122.38833,3,Multifamily Housing,65
Multifamily LR (1-4),47.65698,1,1.01,26.21,25904,Low-Rise Multifamily,1927,NORTHEAST,-122.31491,3,Multifamily Housing,89
Multifamily LR (1-4),47.65701,1,0.19,5.47,28200,Low-Rise Multifamily,2013,LAKE UNION,-122.34269,4,Multifamily Housing,26
Multifamily LR (1-4),47.65725,1,0.84,17.8,21267,Low-Rise Multifamily,2014,NORTHEAST,-122.32007,4,Multifamily Housing,100
Multifamily LR (1-4),47.6573,1,0.19,4.92,25568,Low-Rise Multifamily,1963,NORTHEAST,-122.31474,4,Multifamily Housing,89
Multifamily LR (1-4),47.65755,1,0.19,4.96,26639,Low-Rise Multifamily,1964,NORTHEAST,-122.31406,4,Multifamily Housing,84
Multifamily LR (1-4),47.65766,1,0.16,5.46,34735,Low-Rise Multifamily,1963,NORTHEAST,-122.31471,4,Multifamily Housing,76
Multifamily LR (1-4),47.65806,1,0.13,2.94,23420,Low-Rise Multifamily,1966,LAKE UNION,-122.35467,4,Multifamily Housing,75
Multifamily LR (1-4),47.65807,1,0.23,5.66,24548,Low-Rise Multifamily,1941,NORTHEAST,-122.31713,3,Multifamily Housing,85
Multifamily LR (1-4),47.65809,1,0.15,4.63,31034,Low-Rise Multifamily,1987,NORTHEAST,-122.32117,4,Multifamily Housing,92
Multifamily LR (1-4),47.65818,1,0.18,3.69,20930,Low-Rise Multifamily,1976,MAGNOLIA / QUEEN ANNE,-122.40283,3,Multifamily Housing,75
Multifamily LR (1-4),47.65847,1,0.22,6.18,28700,Low-Rise Multifamily,1925,NORTHEAST,-122.3147,3,Multifamily Housing,46
Multifamily LR (1-4),47.65848,1,0.71,15.97,22542,Low-Rise Multifamily,1924,NORTHEAST,-122.31397,3,Multifamily Housing,95
Multifamily LR (1-4),47.65853,1,2.67,59.61,22320,Low-Rise Multifamily,1916,NORTHEAST,-122.3128,3,Multifamily Housing,82
Multifamily LR (1-4),47.65859,1,0.16,7.36,47332,Low-Rise Multifamily,1986,NORTHEAST,-122.31913,4,Multifamily Housing,92
